State,University/College ,Campus,Student enrollment,Violent crime,Murder and nonnegligent manslaughter,Rape (revised definition),Rape (legacy definition),Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Alabama,Alabama A&M University,,5333,12,0,2,,3,7,78,1,75,2,
Alabama,Jacksonville State University,,8659,7,0,0,,0,7,59,9,50,0,
Alabama,Samford University,,4933,3,0,0,,0,3,46,8,34,4,
Alabama,Tuskegee University,,3103,5,0,0,,1,4,112,12,97,3,
Alabama,University of Alabama: ,Birmingham,18698,24,0,2,,3,19,395,5,379,11,
Alabama,University of Alabama: ,Huntsville,7348,10,0,1,,1,8,73,18,55,0,
Alabama,University of Alabama: ,Tuscaloosa,36047,15,0,3,,9,3,359,36,316,7,
Alabama,University of South Alabama,,15805,21,0,1,,3,17,165,28,136,1,
Alaska,University of Alaska: ,Anchorage,17151,4,0,1,,0,3,95,4,88,3,0
Arizona,University of Alaska: ,Fairbanks,8620,3,0,2,,0,1,50,3,44,3,0
Arizona,Arizona State University,Main Campus,83260,35,0,9,,6,20,1045,78,946,21,3
Arizona,Central Arizona College,,5937,1,0,1,,0,0,20,8,12,0,0
Arizona,Northern Arizona University,,27705,28,1,20,,0,7,274,21,252,1,0
Arizona,Pima Community College,,28070,1,0,0,,1,0,87,5,79,3,0
Arizona,University of Arizona,,42236,25,0,17,,2,6,598,32,551,15,1
Arizona,Yavapai College,,7842,0,0,0,,0,0,4,0,4,0,0
Arkansas,Arkansas State University: ,Beebe,4140,0,0,0,,0,0,7,0,7,0,0
Arkansas,Arkansas State University: ,Jonesboro,13144,11,0,4,,2,5,76,8,68,0,0
Arkansas,Arkansas Tech University,,12002,6,0,5,,0,1,83,7,74,2,0
Arkansas,Henderson State University,,3627,1,0,1,,0,0,47,7,39,1,0
Arkansas,Southern Arkansas University,,3546,0,0,0,,0,0,13,4,9,0,0
Arkansas,University of Arkansas: ,Fayetteville,26237,9,1,7,,0,1,176,10,123,43,0
Arkansas,University of Arkansas: ,Little Rock,11645,8,0,1,,3,4,85,1,84,0,0
Arkansas,University of Arkansas: ,Medical Sciences,2890,2,0,0,,1,1,103,2,96,5,0
Arkansas,University of Arkansas: ,Monticello,3854,0,0,0,,0,0,21,1,20,0,0
Arkansas,University of Arkansas: ,Pine Bluff,2513,0,0,0,,0,0,77,9,67,1,0
California,Allan Hancock College,,11047,0,0,0,,0,0,21,2,18,1,0
California,California State Polytechnic University: ,Pomona,23966,6,0,4,,1,1,173,5,150,18,1
California,California State Polytechnic University: ,San Luis Obispo5,20186,3,0,2,,0,1,163,7,149,7,1
California,California State University: ,Bakersfield,8720,1,0,0,,0,1,78,12,65,1,0
California,California State University: ,Channel Islands,5879,2,0,0,,1,1,62,7,54,1,0
California,California State University: ,Chico5,17287,7,0,3,,1,3,254,13,235,6,2
California,California State University: ,Dominguez Hills,14687,4,0,0,,0,4,72,5,65,2,0
California,California State University: ,East Bay,14823,2,0,2,,0,0,97,11,80,6,0
California,California State University: ,Fresno,23179,13,0,3,,3,7,267,43,209,15,1
California,California State University: ,Fullerton5,38128,8,0,3,,1,4,248,22,218,8,0
California,California State University: ,Long Beach5,36809,6,0,4,,1,1,148,12,129,7,0
California,California State University: ,Los Angeles5,24488,14,0,2,,0,12,147,23,119,5,0
California,California State University: ,Monterey Bay,6631,12,0,6,,0,6,35,8,24,3,0
California,California State University: ,Northridge,40131,7,0,3,,2,2,302,16,278,8,0
California,California State University: ,Sacramento,29349,12,0,2,,5,5,195,7,186,2,1
California,California State University: ,San Bernardino,18952,8,0,2,,5,1,104,3,80,21,0
California,California State University: ,San Jose5,32713,29,0,2,,5,22,442,30,397,15,1
California,California State University: ,San Marcos,12154,7,0,7,,0,0,59,2,57,0,0
California,California State University: ,Stanislaus,9045,2,0,2,,0,0,72,1,70,1,0
California,College of the Sequoias,,10647,4,0,0,,1,3,70,12,51,7,0
California,Contra Costa Community College,,35481,3,0,0,,3,0,194,17,156,21,1
California,Cuesta College5,,9221,0,0,0,,0,0,13,1,11,1,0
California,El Camino College,,24207,3,0,0,,3,0,112,6,101,5,0
California,Foothill-De Anza College,,38134,1,0,0,,1,0,72,5,64,3,0
California,Humboldt State University,,8485,7,0,3,,0,4,153,12,139,2,2
California,Marin Community College,,5500,3,0,2,,0,1,27,2,25,0,0
California,Pasadena Community College5,,26611,5,0,0,,1,4,104,5,99,0,0
California,Riverside Community College,,36582,1,0,0,,0,1,74,6,57,11,1
California,San Bernardino Community College,,18897,1,0,0,,0,1,84,13,62,9,0
California,San Diego State University,,33483,26,0,12,,5,9,457,32,400,25,0
California,San Francisco State University,,29465,7,0,2,,2,3,220,26,180,14,0
California,San Jose/Evergreen Community College5 ,,18205,1,0,0,,0,1,46,4,40,2,0
California,Santa Rosa Junior College5,,23144,5,0,2,,0,3,86,10,72,4,0
California,Sonoma State University,,9290,3,0,3,,0,0,128,21,105,2,0
California,State Center Community College District,,36940,7,0,0,,2,5,222,28,184,10,0
California,University of California: ,Berkeley,37565,35,0,9,,12,14,749,43,688,18,1
California,University of California: ,Davis,34508,22,0,13,,4,5,600,27,568,5,3
California,University of California: ,Hastings College of Law,1003,19,0,1,,4,14,40,4,36,0,0
California,University of California: ,Irvine5,30051,22,0,9,,4,9,467,45,405,17,3
California,University of California: ,Los Angeles,41845,97,0,27,,22,48,817,136,663,18,2
California,University of California: ,"Medical Center, Sacramento6",,24,0,2,,0,22,200,16,180,4,4
