State,University/College ,Campus,Student enrollment,Violent crime,Murder and nonnegligent manslaughter,Rape (revised definition),Rape (legacy definition),Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Alabama,Alabama A&M University,,5333,12,0,2,,3,7,78,1,75,2,
Alabama,Jacksonville State University,,8659,7,0,0,,0,7,59,9,50,0,
Alabama,Samford University,,4933,3,0,0,,0,3,46,8,34,4,2,
California,University of California: ,Berkeley,37565,35,0,9,,12,14,749,43,688,18,1
California,University of California: ,Davis,34508,22,0,13,,4,5,600,27,568,5,3
California,University of California: ,"Medical Center, Sacramento6",,24,0,2,,0,22,200,16,180,4,4
California,University of California: ,Merced,6268,11,0,3,,0,8,23,2,19,2,0
Iowa,Iowa State University,,34435,17,0,8,,2,7,249,12,231,6,0
Iowa,University of Iowa,,29970,11,0,3,,2,6,255,27,224,4,1
Massachusetts,Fitchburg State University,,6810,6,0,0,,0,6,32,1,31,0,
Massachusetts,Framingham State University,,6499,0,0,0,,0,0,29,0,28,1,
Massachusetts,Gordon College,,2105,1,0,1,,0,0,52,0,52,0,
New York,State University of New York College:,Fredonia,5215,1,0,1,,0,0,34,8,26,0,0
New York,State University of New York College:,Geneseo,5658,2,0,2,,0,0,84,10,71,3,0
Ohio,Cuyahoga Community College,,27084,4,0,1,,2,1,74,2,70,2,0
